Number,model_a,model_b,result
70,koala-13b,vicuna-13b,l
71,chatglm-6b,oasst-pythia-12b,l
72,oasst-pythia-12b,koala-13b,l
73,koala-13b,vicuna-13b,l
74,vicuna-13b,oasst-pythia-12b,l
75,vicuna-13b,llama-13b,l
76,koala-13b,vicuna-13b,l
77,vicuna-13b,koala-13b,l
78,vicuna-13b,alpaca-13b,l
79,vicuna-13b,koala-13b,l
80,vicuna-13b,koala-13b,l
81,vicuna-13b,koala-13b,l
82,vicuna-13b,dolly-v2-12b,l
83,koala-13b,chatglm-6b,l
84,oasst-pythia-12b,koala-13b,l
85,vicuna-13b,koala-13b,l
86,vicuna-13b,koala-13b,l
87,vicuna-13b,koala-13b,l
88,vicuna-13b,llama-13b,l
89,oasst-pythia-12b,vicuna-13b,l
90,alpaca-13b,oasst-pythia-12b,l
91,koala-13b,vicuna-13b,l
92,chatglm-6b,vicuna-13b,l
93,vicuna-13b,koala-13b,l
94,vicuna-13b,koala-13b,l
95,vicuna-13b,koala-13b,l
96,koala-13b,llama-13b,l
97,vicuna-13b,alpaca-13b,l
98,vicuna-13b,koala-13b,l
99,chatglm-6b,vicuna-13b,l
100,oasst-pythia-12b,alpaca-13b,l
101,vicuna-13b,llama-13b,l
102,koala-13b,vicuna-13b,l
103,vicuna-13b,koala-13b,l
104,koala-13b,oasst-pythia-12b,l
105,alpaca-13b,llama-13b,l
106,oasst-pythia-12b,vicuna-13b,l
107,vicuna-13b,alpaca-13b,l
108,vicuna-13b,koala-13b,l
109,vicuna-13b,koala-13b,l
110,alpaca-13b,oasst-pythia-12b,l
111,koala-13b,vicuna-13b,l
112,vicuna-13b,oasst-pythia-12b,l
113,vicuna-13b,koala-13b,l
114,llama-13b,koala-13b,l
115,vicuna-13b,dolly-v2-12b,l
116,vicuna-13b,dolly-v2-12b,l
117,vicuna-13b,oasst-pythia-12b,l
118,vicuna-13b,koala-13b,l
119,koala-13b,vicuna-13b,l
120,llama-13b,koala-13b,l
121,vicuna-13b,stablelm-tuned-alpha-7b,l
122,alpaca-13b,dolly-v2-12b,l
123,vicuna-13b,koala-13b,l
124,vicuna-13b,koala-13b,l
125,vicuna-13b,oasst-pythia-12b,l
126,koala-13b,dolly-v2-12b,l
127,koala-13b,stablelm-tuned-alpha-7b,l
128,koala-13b,llama-13b,l
129,llama-13b,koala-13b,l
130,koala-13b,alpaca-13b,l
131,oasst-pythia-12b,vicuna-13b,l
132,koala-13b,vicuna-13b,l
133,vicuna-13b,oasst-pythia-12b,l
134,vicuna-13b,koala-13b,l
135,stablelm-tuned-alpha-7b,llama-13b,l
136,vicuna-13b,alpaca-13b,l
137,vicuna-13b,koala-13b,l
138,llama-13b,dolly-v2-12b,l
139,vicuna-13b,oasst-pythia-12b,l
140,vicuna-13b,dolly-v2-12b,l
141,koala-13b,vicuna-13b,l
142,koala-13b,vicuna-13b,l
143,alpaca-13b,vicuna-13b,l
144,oasst-pythia-12b,stablelm-tuned-alpha-7b,l
145,koala-13b,vicuna-13b,l
146,oasst-pythia-12b,dolly-v2-12b,l
147,koala-13b,stablelm-tuned-alpha-7b,l
148,dolly-v2-12b,vicuna-13b,l
149,koala-13b,vicuna-13b,l
150,vicuna-13b,alpaca-13b,l
151,vicuna-13b,koala-13b,l
152,koala-13b,llama-13b,l
153,stablelm-tuned-alpha-7b,koala-13b,l
154,vicuna-13b,koala-13b,l
155,koala-13b,vicuna-13b,l
156,koala-13b,vicuna-13b,l
157,dolly-v2-12b,vicuna-13b,l
158,vicuna-13b,dolly-v2-12b,l
159,llama-13b,koala-13b,l
160,oasst-pythia-12b,vicuna-13b,l
161,koala-13b,stablelm-tuned-alpha-7b,l
162,oasst-pythia-12b,alpaca-13b,l
163,chatglm-6b,vicuna-13b,l
164,koala-13b,vicuna-13b,l
165,oasst-pythia-12b,vicuna-13b,l
166,alpaca-13b,stablelm-tuned-alpha-7b,l
167,vicuna-13b,dolly-v2-12b,l
168,vicuna-13b,chatglm-6b,l
169,dolly-v2-12b,oasst-pythia-12b,l
170,vicuna-13b,oasst-pythia-12b,l
171,vicuna-13b,dolly-v2-12b,l
172,vicuna-13b,oasst-pythia-12b,l
173,vicuna-13b,dolly-v2-12b,l
174,dolly-v2-12b,vicuna-13b,l
175,oasst-pythia-12b,koala-13b,l
176,dolly-v2-12b,koala-13b,l
177,vicuna-13b,koala-13b,l
178,vicuna-13b,koala-13b,l
179,koala-13b,alpaca-13b,l
180,dolly-v2-12b,alpaca-13b,l
181,vicuna-13b,oasst-pythia-12b,l
182,koala-13b,vicuna-13b,l
183,oasst-pythia-12b,koala-13b,l
184,koala-13b,oasst-pythia-12b,l
185,vicuna-13b,oasst-pythia-12b,l
186,vicuna-13b,koala-13b,l
187,koala-13b,oasst-pythia-12b,l
188,dolly-v2-12b,chatglm-6b,l
189,vicuna-13b,koala-13b,l
190,vicuna-13b,chatglm-6b,l
191,koala-13b,oasst-pythia-12b,l
192,dolly-v2-12b,koala-13b,l
193,vicuna-13b,alpaca-13b,l
194,koala-13b,vicuna-13b,l
195,vicuna-13b,stablelm-tuned-alpha-7b,l
196,vicuna-13b,dolly-v2-12b,l
197,chatglm-6b,vicuna-13b,l
198,vicuna-13b,koala-13b,l
199,vicuna-13b,alpaca-13b,l
200,vicuna-13b,koala-13b,l
201,vicuna-13b,dolly-v2-12b,l
202,vicuna-13b,stablelm-tuned-alpha-7b,l
203,koala-13b,vicuna-13b,l
204,koala-13b,vicuna-13b,l
205,vicuna-13b,koala-13b,l
206,koala-13b,vicuna-13b,l
207,alpaca-13b,vicuna-13b,l
208,alpaca-13b,koala-13b,l
209,alpaca-13b,dolly-v2-12b,l
210,vicuna-13b,koala-13b,l
211,oasst-pythia-12b,vicuna-13b,l
212,stablelm-tuned-alpha-7b,vicuna-13b,l
213,chatglm-6b,vicuna-13b,l
214,koala-13b,alpaca-13b,l
215,alpaca-13b,vicuna-13b,l
216,alpaca-13b,koala-13b,l
217,dolly-v2-12b,vicuna-13b,l
218,dolly-v2-12b,vicuna-13b,l
219,koala-13b,oasst-pythia-12b,l
220,vicuna-13b,oasst-pythia-12b,l
221,vicuna-13b,oasst-pythia-12b,l
222,vicuna-13b,alpaca-13b,l
223,dolly-v2-12b,alpaca-13b,l
224,vicuna-13b,alpaca-13b,l
225,koala-13b,vicuna-13b,l
226,koala-13b,vicuna-13b,l
227,vicuna-13b,alpaca-13b,l
228,chatglm-6b,vicuna-13b,l
229,vicuna-13b,koala-13b,l
230,vicuna-13b,oasst-pythia-12b,l
231,koala-13b,vicuna-13b,l
232,vicuna-13b,koala-13b,l
233,oasst-pythia-12b,stablelm-tuned-alpha-7b,l
234,vicuna-13b,alpaca-13b,l
235,koala-13b,stablelm-tuned-alpha-7b,l
236,alpaca-13b,chatglm-6b,l
237,koala-13b,llama-13b,l
238,llama-13b,alpaca-13b,l
239,vicuna-13b,oasst-pythia-12b,l
240,koala-13b,vicuna-13b,l
241,llama-13b,koala-13b,l
242,vicuna-13b,oasst-pythia-12b,l
243,vicuna-13b,koala-13b,l
244,llama-13b,koala-13b,l
245,koala-13b,chatglm-6b,l
246,vicuna-13b,alpaca-13b,l
247,vicuna-13b,llama-13b,l
248,koala-13b,oasst-pythia-12b,l
249,llama-13b,vicuna-13b,l
250,vicuna-13b,koala-13b,l
251,vicuna-13b,dolly-v2-12b,l
252,alpaca-13b,vicuna-13b,l
253,dolly-v2-12b,vicuna-13b,l
254,koala-13b,vicuna-13b,l
255,vicuna-13b,koala-13b,l
256,oasst-pythia-12b,koala-13b,l
257,vicuna-13b,alpaca-13b,l
258,vicuna-13b,oasst-pythia-12b,l
259,llama-13b,oasst-pythia-12b,l
260,vicuna-13b,dolly-v2-12b,l
261,koala-13b,dolly-v2-12b,l
262,vicuna-13b,oasst-pythia-12b,l
263,oasst-pythia-12b,koala-13b,l
264,alpaca-13b,vicuna-13b,l
265,koala-13b,vicuna-13b,l
266,vicuna-13b,stablelm-tuned-alpha-7b,l
267,koala-13b,oasst-pythia-12b,l
268,vicuna-13b,koala-13b,l
269,vicuna-13b,dolly-v2-12b,l
270,llama-13b,vicuna-13b,l
271,koala-13b,alpaca-13b,l
272,vicuna-13b,llama-13b,l
273,vicuna-13b,dolly-v2-12b,l
274,koala-13b,vicuna-13b,l
275,vicuna-13b,chatglm-6b,l
276,oasst-pythia-12b,vicuna-13b,l
277,chatglm-6b,dolly-v2-12b,l
278,vicuna-13b,llama-13b,l
279,llama-13b,koala-13b,l
280,oasst-pythia-12b,koala-13b,l
281,vicuna-13b,oasst-pythia-12b,l
282,koala-13b,dolly-v2-12b,l
283,chatglm-6b,koala-13b,l
284,stablelm-tuned-alpha-7b,chatglm-6b,l
285,alpaca-13b,vicuna-13b,l
286,chatglm-6b,vicuna-13b,l
287,koala-13b,stablelm-tuned-alpha-7b,l
288,llama-13b,vicuna-13b,l
289,vicuna-13b,koala-13b,l
290,koala-13b,dolly-v2-12b,l
291,vicuna-13b,koala-13b,l
292,koala-13b,llama-13b,l
293,vicuna-13b,koala-13b,l
294,koala-13b,alpaca-13b,l
295,vicuna-13b,koala-13b,l
296,alpaca-13b,dolly-v2-12b,l
297,oasst-pythia-12b,vicuna-13b,l
298,koala-13b,vicuna-13b,l
299,vicuna-13b,koala-13b,l
300,llama-13b,vicuna-13b,l
301,vicuna-13b,llama-13b,l
302,vicuna-13b,koala-13b,l
303,koala-13b,chatglm-6b,l
304,koala-13b,vicuna-13b,l
305,stablelm-tuned-alpha-7b,vicuna-13b,l
306,koala-13b,oasst-pythia-12b,l
307,koala-13b,vicuna-13b,l
308,stablelm-tuned-alpha-7b,vicuna-13b,l
309,vicuna-13b,stablelm-tuned-alpha-7b,l
310,vicuna-13b,stablelm-tuned-alpha-7b,l
311,llama-13b,vicuna-13b,l
312,vicuna-13b,koala-13b,l
313,vicuna-13b,koala-13b,l
314,oasst-pythia-12b,vicuna-13b,l
315,chatglm-6b,vicuna-13b,l
316,chatglm-6b,koala-13b,l
317,vicuna-13b,koala-13b,l
318,vicuna-13b,dolly-v2-12b,l
319,vicuna-13b,dolly-v2-12b,l
320,llama-13b,vicuna-13b,l
321,dolly-v2-12b,chatglm-6b,l
322,vicuna-13b,llama-13b,l
323,vicuna-13b,oasst-pythia-12b,l
324,oasst-pythia-12b,chatglm-6b,l
325,llama-13b,stablelm-tuned-alpha-7b,l
326,oasst-pythia-12b,alpaca-13b,l
327,vicuna-13b,koala-13b,l
328,alpaca-13b,oasst-pythia-12b,l
329,vicuna-13b,oasst-pythia-12b,l
330,koala-13b,vicuna-13b,l
331,stablelm-tuned-alpha-7b,vicuna-13b,l
332,koala-13b,vicuna-13b,l
333,chatglm-6b,vicuna-13b,l
334,koala-13b,vicuna-13b,l
335,koala-13b,vicuna-13b,l
336,dolly-v2-12b,vicuna-13b,l
337,vicuna-13b,koala-13b,l
338,vicuna-13b,koala-13b,l
339,vicuna-13b,chatglm-6b,l
340,alpaca-13b,vicuna-13b,l
341,vicuna-13b,koala-13b,l
342,vicuna-13b,oasst-pythia-12b,l
343,vicuna-13b,oasst-pythia-12b,l
344,alpaca-13b,koala-13b,l
345,koala-13b,vicuna-13b,l
346,alpaca-13b,koala-13b,l
347,koala-13b,oasst-pythia-12b,l
348,dolly-v2-12b,vicuna-13b,l
349,koala-13b,vicuna-13b,l
350,alpaca-13b,vicuna-13b,l
351,vicuna-13b,koala-13b,l
352,chatglm-6b,vicuna-13b,l
353,oasst-pythia-12b,vicuna-13b,l
354,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
355,vicuna-13b,oasst-pythia-12b,l
356,vicuna-13b,koala-13b,l
357,koala-13b,vicuna-13b,l
358,vicuna-13b,koala-13b,l
359,koala-13b,vicuna-13b,l
360,oasst-pythia-12b,alpaca-13b,l
361,oasst-pythia-12b,vicuna-13b,l
362,vicuna-13b,llama-13b,l
363,koala-13b,stablelm-tuned-alpha-7b,l
364,oasst-pythia-12b,alpaca-13b,l
365,vicuna-13b,koala-13b,l
366,dolly-v2-12b,vicuna-13b,l
367,vicuna-13b,koala-13b,l
368,vicuna-13b,oasst-pythia-12b,l
369,koala-13b,oasst-pythia-12b,l
370,oasst-pythia-12b,vicuna-13b,l
371,koala-13b,vicuna-13b,l
372,dolly-v2-12b,vicuna-13b,l
373,llama-13b,stablelm-tuned-alpha-7b,l
374,vicuna-13b,llama-13b,l
375,vicuna-13b,llama-13b,l
376,koala-13b,dolly-v2-12b,l
377,vicuna-13b,koala-13b,l
378,vicuna-13b,oasst-pythia-12b,l
379,vicuna-13b,stablelm-tuned-alpha-7b,l
380,dolly-v2-12b,alpaca-13b,l
381,chatglm-6b,vicuna-13b,l
382,vicuna-13b,koala-13b,l
383,vicuna-13b,llama-13b,l
384,koala-13b,llama-13b,l
385,alpaca-13b,llama-13b,l
386,koala-13b,chatglm-6b,l
387,koala-13b,vicuna-13b,l
388,vicuna-13b,dolly-v2-12b,l
389,alpaca-13b,llama-13b,l
390,dolly-v2-12b,vicuna-13b,l
391,vicuna-13b,stablelm-tuned-alpha-7b,l
392,vicuna-13b,koala-13b,l
393,dolly-v2-12b,vicuna-13b,l
394,vicuna-13b,koala-13b,l
395,vicuna-13b,oasst-pythia-12b,l
396,vicuna-13b,llama-13b,l
397,koala-13b,vicuna-13b,l
398,oasst-pythia-12b,llama-13b,l
399,stablelm-tuned-alpha-7b,vicuna-13b,l
400,vicuna-13b,alpaca-13b,l
401,oasst-pythia-12b,vicuna-13b,l
402,vicuna-13b,alpaca-13b,l
403,vicuna-13b,koala-13b,l
404,vicuna-13b,oasst-pythia-12b,l
405,chatglm-6b,alpaca-13b,l
406,vicuna-13b,chatglm-6b,l
407,vicuna-13b,koala-13b,l
408,vicuna-13b,dolly-v2-12b,l
409,dolly-v2-12b,vicuna-13b,l
410,vicuna-13b,oasst-pythia-12b,l
411,vicuna-13b,koala-13b,l
412,vicuna-13b,koala-13b,l
413,alpaca-13b,koala-13b,l
414,vicuna-13b,stablelm-tuned-alpha-7b,l
415,alpaca-13b,vicuna-13b,l
416,vicuna-13b,koala-13b,l
417,vicuna-13b,koala-13b,l
418,vicuna-13b,koala-13b,l
419,dolly-v2-12b,alpaca-13b,l
420,alpaca-13b,koala-13b,l
421,alpaca-13b,dolly-v2-12b,l
422,vicuna-13b,llama-13b,l
423,stablelm-tuned-alpha-7b,alpaca-13b,l
424,vicuna-13b,llama-13b,l
425,vicuna-13b,koala-13b,l
426,koala-13b,oasst-pythia-12b,l
427,dolly-v2-12b,koala-13b,l
428,vicuna-13b,alpaca-13b,l
429,koala-13b,vicuna-13b,l
430,dolly-v2-12b,stablelm-tuned-alpha-7b,l
431,vicuna-13b,oasst-pythia-12b,l
432,vicuna-13b,koala-13b,l
433,vicuna-13b,llama-13b,l
434,vicuna-13b,oasst-pythia-12b,l
435,vicuna-13b,dolly-v2-12b,l
436,alpaca-13b,vicuna-13b,l
437,vicuna-13b,oasst-pythia-12b,l
438,dolly-v2-12b,alpaca-13b,l
439,vicuna-13b,llama-13b,l
440,oasst-pythia-12b,chatglm-6b,l
441,chatglm-6b,vicuna-13b,l
442,alpaca-13b,vicuna-13b,l
443,oasst-pythia-12b,dolly-v2-12b,l
444,vicuna-13b,oasst-pythia-12b,l
445,alpaca-13b,stablelm-tuned-alpha-7b,l
446,vicuna-13b,koala-13b,l
447,chatglm-6b,vicuna-13b,l
448,dolly-v2-12b,vicuna-13b,l
449,koala-13b,vicuna-13b,l
450,stablelm-tuned-alpha-7b,vicuna-13b,l
451,vicuna-13b,chatglm-6b,l
452,vicuna-13b,koala-13b,l
453,llama-13b,dolly-v2-12b,l
454,vicuna-13b,dolly-v2-12b,l
455,koala-13b,oasst-pythia-12b,l
456,koala-13b,vicuna-13b,l
457,oasst-pythia-12b,stablelm-tuned-alpha-7b,l
458,vicuna-13b,llama-13b,l
459,vicuna-13b,koala-13b,l
460,vicuna-13b,chatglm-6b,l
461,koala-13b,oasst-pythia-12b,l
462,alpaca-13b,vicuna-13b,l
463,oasst-pythia-12b,koala-13b,l
464,vicuna-13b,koala-13b,l
465,oasst-pythia-12b,llama-13b,l
466,koala-13b,vicuna-13b,l
467,llama-13b,vicuna-13b,l
468,koala-13b,alpaca-13b,l
469,koala-13b,vicuna-13b,l
470,vicuna-13b,stablelm-tuned-alpha-7b,l
471,vicuna-13b,koala-13b,l
472,stablelm-tuned-alpha-7b,chatglm-6b,l
473,koala-13b,oasst-pythia-12b,l
474,stablelm-tuned-alpha-7b,alpaca-13b,l
475,vicuna-13b,koala-13b,l
476,vicuna-13b,oasst-pythia-12b,l
477,alpaca-13b,stablelm-tuned-alpha-7b,l
478,oasst-pythia-12b,alpaca-13b,l
479,koala-13b,llama-13b,l
480,vicuna-13b,stablelm-tuned-alpha-7b,l
481,vicuna-13b,koala-13b,l
482,oasst-pythia-12b,vicuna-13b,l
483,oasst-pythia-12b,vicuna-13b,l
484,llama-13b,vicuna-13b,l
485,vicuna-13b,koala-13b,l
486,vicuna-13b,llama-13b,l
487,vicuna-13b,chatglm-6b,l
488,vicuna-13b,koala-13b,l
489,oasst-pythia-12b,koala-13b,l
490,vicuna-13b,oasst-pythia-12b,l
491,vicuna-13b,llama-13b,l
492,koala-13b,vicuna-13b,l
493,alpaca-13b,vicuna-13b,l
494,koala-13b,llama-13b,l
495,oasst-pythia-12b,vicuna-13b,l
496,chatglm-6b,vicuna-13b,l
497,vicuna-13b,stablelm-tuned-alpha-7b,l
498,vicuna-13b,koala-13b,l
499,vicuna-13b,llama-13b,l
500,vicuna-13b,llama-13b,l
501,vicuna-13b,chatglm-6b,l
502,vicuna-13b,alpaca-13b,l
503,llama-13b,vicuna-13b,l
504,vicuna-13b,koala-13b,l
505,llama-13b,vicuna-13b,l
506,vicuna-13b,koala-13b,l
507,vicuna-13b,alpaca-13b,l
508,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
509,vicuna-13b,oasst-pythia-12b,l
510,vicuna-13b,alpaca-13b,l
511,vicuna-13b,oasst-pythia-12b,l
512,koala-13b,chatglm-6b,l
513,oasst-pythia-12b,koala-13b,l
514,koala-13b,vicuna-13b,l
515,vicuna-13b,koala-13b,l
516,koala-13b,oasst-pythia-12b,l
517,koala-13b,vicuna-13b,l
518,oasst-pythia-12b,koala-13b,l
519,oasst-pythia-12b,vicuna-13b,l
520,vicuna-13b,koala-13b,l
521,koala-13b,vicuna-13b,l
522,oasst-pythia-12b,llama-13b,l
523,vicuna-13b,koala-13b,l
524,vicuna-13b,llama-13b,l
525,koala-13b,vicuna-13b,l
526,vicuna-13b,koala-13b,l
527,vicuna-13b,koala-13b,l
528,alpaca-13b,oasst-pythia-12b,l
529,alpaca-13b,vicuna-13b,l
530,vicuna-13b,oasst-pythia-12b,l
531,dolly-v2-12b,oasst-pythia-12b,l
532,vicuna-13b,koala-13b,l
533,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
534,vicuna-13b,koala-13b,l
535,koala-13b,stablelm-tuned-alpha-7b,l
536,koala-13b,vicuna-13b,l
537,vicuna-13b,stablelm-tuned-alpha-7b,l
538,koala-13b,vicuna-13b,l
539,alpaca-13b,llama-13b,l
540,vicuna-13b,koala-13b,l
541,vicuna-13b,llama-13b,l
542,alpaca-13b,koala-13b,l
543,vicuna-13b,koala-13b,l
544,koala-13b,vicuna-13b,l
545,koala-13b,vicuna-13b,l
546,vicuna-13b,koala-13b,l
547,koala-13b,stablelm-tuned-alpha-7b,l
548,koala-13b,oasst-pythia-12b,l
549,vicuna-13b,alpaca-13b,l
550,koala-13b,vicuna-13b,l
551,alpaca-13b,vicuna-13b,l
552,koala-13b,oasst-pythia-12b,l
553,oasst-pythia-12b,dolly-v2-12b,l
554,koala-13b,dolly-v2-12b,l
555,vicuna-13b,koala-13b,l
556,dolly-v2-12b,chatglm-6b,l
557,koala-13b,vicuna-13b,l
558,chatglm-6b,vicuna-13b,l
559,chatglm-6b,vicuna-13b,l
560,vicuna-13b,koala-13b,l
561,koala-13b,alpaca-13b,l
562,oasst-pythia-12b,vicuna-13b,l
563,stablelm-tuned-alpha-7b,dolly-v2-12b,l
564,koala-13b,vicuna-13b,l
565,koala-13b,vicuna-13b,l
566,chatglm-6b,stablelm-tuned-alpha-7b,l
567,koala-13b,chatglm-6b,l
568,koala-13b,oasst-pythia-12b,l
569,vicuna-13b,dolly-v2-12b,l
570,vicuna-13b,koala-13b,l
571,dolly-v2-12b,vicuna-13b,l
572,koala-13b,alpaca-13b,l
573,koala-13b,vicuna-13b,l
574,koala-13b,vicuna-13b,l
575,vicuna-13b,koala-13b,l
576,koala-13b,vicuna-13b,l
577,vicuna-13b,llama-13b,l
578,oasst-pythia-12b,alpaca-13b,l
579,koala-13b,stablelm-tuned-alpha-7b,l
580,dolly-v2-12b,oasst-pythia-12b,l
581,vicuna-13b,stablelm-tuned-alpha-7b,l
582,vicuna-13b,oasst-pythia-12b,l
583,vicuna-13b,oasst-pythia-12b,l
584,vicuna-13b,koala-13b,l
585,koala-13b,vicuna-13b,l
586,koala-13b,vicuna-13b,l
587,vicuna-13b,stablelm-tuned-alpha-7b,l
588,vicuna-13b,koala-13b,l
589,oasst-pythia-12b,vicuna-13b,l
590,vicuna-13b,alpaca-13b,l
591,vicuna-13b,oasst-pythia-12b,l
592,stablelm-tuned-alpha-7b,alpaca-13b,l
593,dolly-v2-12b,chatglm-6b,l
594,oasst-pythia-12b,koala-13b,l
595,alpaca-13b,vicuna-13b,l
596,koala-13b,llama-13b,l
597,vicuna-13b,koala-13b,l
598,vicuna-13b,koala-13b,l
599,koala-13b,oasst-pythia-12b,l
600,koala-13b,alpaca-13b,l
601,vicuna-13b,llama-13b,l
602,llama-13b,vicuna-13b,l
603,koala-13b,vicuna-13b,l
604,vicuna-13b,dolly-v2-12b,l
605,vicuna-13b,llama-13b,l
606,oasst-pythia-12b,vicuna-13b,l
607,vicuna-13b,koala-13b,l
608,chatglm-6b,alpaca-13b,l
609,llama-13b,dolly-v2-12b,l
610,vicuna-13b,koala-13b,l
611,alpaca-13b,vicuna-13b,l
612,oasst-pythia-12b,vicuna-13b,l
613,chatglm-6b,vicuna-13b,l
614,koala-13b,alpaca-13b,l
615,vicuna-13b,stablelm-tuned-alpha-7b,l
616,vicuna-13b,llama-13b,l
617,oasst-pythia-12b,koala-13b,l
618,oasst-pythia-12b,vicuna-13b,l
619,chatglm-6b,vicuna-13b,l
620,dolly-v2-12b,stablelm-tuned-alpha-7b,l
621,alpaca-13b,vicuna-13b,l
622,koala-13b,oasst-pythia-12b,l
623,koala-13b,oasst-pythia-12b,l
624,vicuna-13b,llama-13b,l
625,chatglm-6b,alpaca-13b,l
626,oasst-pythia-12b,vicuna-13b,l
627,vicuna-13b,oasst-pythia-12b,l
628,llama-13b,koala-13b,l
629,koala-13b,oasst-pythia-12b,l
630,llama-13b,koala-13b,l
631,llama-13b,koala-13b,l
632,vicuna-13b,oasst-pythia-12b,l
633,dolly-v2-12b,vicuna-13b,l
634,koala-13b,vicuna-13b,l
635,stablelm-tuned-alpha-7b,alpaca-13b,l
636,vicuna-13b,dolly-v2-12b,l
637,vicuna-13b,llama-13b,l
638,koala-13b,alpaca-13b,l
639,koala-13b,llama-13b,l
640,alpaca-13b,vicuna-13b,l
641,vicuna-13b,oasst-pythia-12b,l
642,vicuna-13b,koala-13b,l
643,koala-13b,vicuna-13b,l
644,alpaca-13b,koala-13b,l
645,vicuna-13b,koala-13b,l
646,koala-13b,vicuna-13b,l
647,oasst-pythia-12b,vicuna-13b,l
648,llama-13b,vicuna-13b,l
649,vicuna-13b,koala-13b,l
650,vicuna-13b,alpaca-13b,l
651,vicuna-13b,oasst-pythia-12b,l
652,chatglm-6b,koala-13b,l
653,llama-13b,koala-13b,l
654,koala-13b,vicuna-13b,l
655,koala-13b,vicuna-13b,l
656,llama-13b,oasst-pythia-12b,l
657,vicuna-13b,oasst-pythia-12b,l
658,stablelm-tuned-alpha-7b,llama-13b,l
659,vicuna-13b,oasst-pythia-12b,l
660,dolly-v2-12b,vicuna-13b,l
661,vicuna-13b,oasst-pythia-12b,l
662,chatglm-6b,vicuna-13b,l
663,chatglm-6b,oasst-pythia-12b,l
664,stablelm-tuned-alpha-7b,alpaca-13b,l
665,oasst-pythia-12b,vicuna-13b,l
666,llama-13b,vicuna-13b,l
667,dolly-v2-12b,vicuna-13b,l
668,vicuna-13b,oasst-pythia-12b,l
669,koala-13b,vicuna-13b,l
670,vicuna-13b,alpaca-13b,l
671,vicuna-13b,alpaca-13b,l
672,stablelm-tuned-alpha-7b,dolly-v2-12b,l
673,vicuna-13b,koala-13b,l
674,llama-13b,stablelm-tuned-alpha-7b,l
675,vicuna-13b,koala-13b,l
676,stablelm-tuned-alpha-7b,vicuna-13b,l
677,koala-13b,vicuna-13b,l
678,koala-13b,vicuna-13b,l
679,vicuna-13b,koala-13b,l
680,vicuna-13b,oasst-pythia-12b,l
681,vicuna-13b,oasst-pythia-12b,l
