Number,model_a,model_b,result
143,alpaca-13b,vicuna-13b,l
144,oasst-pythia-12b,stablelm-tuned-alpha-7b,w
145,koala-13b,vicuna-13b,l
146,oasst-pythia-12b,dolly-v2-12b,w
147,koala-13b,stablelm-tuned-alpha-7b,w
148,dolly-v2-12b,vicuna-13b,l
150,vicuna-13b,alpaca-13b,w
151,vicuna-13b,koala-13b,w
153,stablelm-tuned-alpha-7b,koala-13b,l
156,koala-13b,vicuna-13b,l
157,dolly-v2-12b,vicuna-13b,l
158,vicuna-13b,dolly-v2-12b,w
159,llama-13b,koala-13b,l
161,koala-13b,stablelm-tuned-alpha-7b,w
162,oasst-pythia-12b,alpaca-13b,l
163,chatglm-6b,vicuna-13b,l
164,koala-13b,vicuna-13b,w
165,oasst-pythia-12b,vicuna-13b,l
166,alpaca-13b,stablelm-tuned-alpha-7b,w
169,dolly-v2-12b,oasst-pythia-12b,l
170,vicuna-13b,oasst-pythia-12b,w
171,vicuna-13b,dolly-v2-12b,w
172,vicuna-13b,oasst-pythia-12b,w
173,vicuna-13b,dolly-v2-12b,w
174,dolly-v2-12b,vicuna-13b,l
176,dolly-v2-12b,koala-13b,l
178,vicuna-13b,koala-13b,w
180,dolly-v2-12b,alpaca-13b,w
181,vicuna-13b,oasst-pythia-12b,w
182,koala-13b,vicuna-13b,l
183,oasst-pythia-12b,koala-13b,l
184,koala-13b,oasst-pythia-12b,w
185,vicuna-13b,oasst-pythia-12b,w
186,vicuna-13b,koala-13b,w
188,dolly-v2-12b,chatglm-6b,w
189,vicuna-13b,koala-13b,w
190,vicuna-13b,chatglm-6b,w
191,koala-13b,oasst-pythia-12b,w
192,dolly-v2-12b,koala-13b,w
193,vicuna-13b,alpaca-13b,w
194,koala-13b,vicuna-13b,w
195,vicuna-13b,stablelm-tuned-alpha-7b,l
196,vicuna-13b,dolly-v2-12b,w
198,vicuna-13b,koala-13b,l
199,vicuna-13b,alpaca-13b,w
201,vicuna-13b,dolly-v2-12b,w
202,vicuna-13b,stablelm-tuned-alpha-7b,w
203,koala-13b,vicuna-13b,w
205,vicuna-13b,koala-13b,l
206,koala-13b,vicuna-13b,l
207,alpaca-13b,vicuna-13b,w
209,alpaca-13b,dolly-v2-12b,w
212,stablelm-tuned-alpha-7b,vicuna-13b,l
213,chatglm-6b,vicuna-13b,l
215,alpaca-13b,vicuna-13b,l
216,alpaca-13b,koala-13b,l
217,dolly-v2-12b,vicuna-13b,l
218,dolly-v2-12b,vicuna-13b,l
219,koala-13b,oasst-pythia-12b,w
220,vicuna-13b,oasst-pythia-12b,w
222,vicuna-13b,alpaca-13b,l
223,dolly-v2-12b,alpaca-13b,l
224,vicuna-13b,alpaca-13b,l
225,koala-13b,vicuna-13b,l
226,koala-13b,vicuna-13b,l
227,vicuna-13b,alpaca-13b,w
228,chatglm-6b,vicuna-13b,l
230,vicuna-13b,oasst-pythia-12b,w
232,vicuna-13b,koala-13b,w
235,koala-13b,stablelm-tuned-alpha-7b,w
236,alpaca-13b,chatglm-6b,w
237,koala-13b,llama-13b,w
238,llama-13b,alpaca-13b,l
240,koala-13b,vicuna-13b,w
241,llama-13b,koala-13b,l
242,vicuna-13b,oasst-pythia-12b,w
243,vicuna-13b,koala-13b,w
244,llama-13b,koala-13b,l
245,koala-13b,chatglm-6b,w
246,vicuna-13b,alpaca-13b,l
247,vicuna-13b,llama-13b,w
248,koala-13b,oasst-pythia-12b,w
249,llama-13b,vicuna-13b,l
250,vicuna-13b,koala-13b,w
251,vicuna-13b,dolly-v2-12b,w
252,alpaca-13b,vicuna-13b,l
253,dolly-v2-12b,vicuna-13b,w
254,koala-13b,vicuna-13b,l
257,vicuna-13b,alpaca-13b,w
259,llama-13b,oasst-pythia-12b,l
260,vicuna-13b,dolly-v2-12b,w
261,koala-13b,dolly-v2-12b,w
262,vicuna-13b,oasst-pythia-12b,w
263,oasst-pythia-12b,koala-13b,w
264,alpaca-13b,vicuna-13b,l
265,koala-13b,vicuna-13b,w
266,vicuna-13b,stablelm-tuned-alpha-7b,w
267,koala-13b,oasst-pythia-12b,w
268,vicuna-13b,koala-13b,l
269,vicuna-13b,dolly-v2-12b,l
270,llama-13b,vicuna-13b,l
272,vicuna-13b,llama-13b,w
273,vicuna-13b,dolly-v2-12b,w
274,koala-13b,vicuna-13b,l
275,vicuna-13b,chatglm-6b,l
276,oasst-pythia-12b,vicuna-13b,l
277,chatglm-6b,dolly-v2-12b,l
278,vicuna-13b,llama-13b,w
279,llama-13b,koala-13b,l
281,vicuna-13b,oasst-pythia-12b,w
282,koala-13b,dolly-v2-12b,w
283,chatglm-6b,koala-13b,l
284,stablelm-tuned-alpha-7b,chatglm-6b,w
286,chatglm-6b,vicuna-13b,l
287,koala-13b,stablelm-tuned-alpha-7b,w
290,koala-13b,dolly-v2-12b,w
291,vicuna-13b,koala-13b,l
292,koala-13b,llama-13b,w
294,koala-13b,alpaca-13b,w
295,vicuna-13b,koala-13b,l
296,alpaca-13b,dolly-v2-12b,w
300,llama-13b,vicuna-13b,l
301,vicuna-13b,llama-13b,w
302,vicuna-13b,koala-13b,w
303,koala-13b,chatglm-6b,w
304,koala-13b,vicuna-13b,l
305,stablelm-tuned-alpha-7b,vicuna-13b,l
306,koala-13b,oasst-pythia-12b,w
309,vicuna-13b,stablelm-tuned-alpha-7b,l
313,vicuna-13b,koala-13b,l
316,chatglm-6b,koala-13b,l
318,vicuna-13b,dolly-v2-12b,w
319,vicuna-13b,dolly-v2-12b,w
320,llama-13b,vicuna-13b,l
321,dolly-v2-12b,chatglm-6b,l
322,vicuna-13b,llama-13b,w
323,vicuna-13b,oasst-pythia-12b,l
324,oasst-pythia-12b,chatglm-6b,w
325,llama-13b,stablelm-tuned-alpha-7b,w
326,oasst-pythia-12b,alpaca-13b,w
327,vicuna-13b,koala-13b,l
328,alpaca-13b,oasst-pythia-12b,w
329,vicuna-13b,oasst-pythia-12b,l
331,stablelm-tuned-alpha-7b,vicuna-13b,l
334,koala-13b,vicuna-13b,l
335,koala-13b,vicuna-13b,w
336,dolly-v2-12b,vicuna-13b,w
338,vicuna-13b,koala-13b,w
339,vicuna-13b,chatglm-6b,w
340,alpaca-13b,vicuna-13b,w
341,vicuna-13b,koala-13b,w
342,vicuna-13b,oasst-pythia-12b,w
343,vicuna-13b,oasst-pythia-12b,l
344,alpaca-13b,koala-13b,l
346,alpaca-13b,koala-13b,w
347,koala-13b,oasst-pythia-12b,w
348,dolly-v2-12b,vicuna-13b,l
349,koala-13b,vicuna-13b,l
350,alpaca-13b,vicuna-13b,l
351,vicuna-13b,koala-13b,l
352,chatglm-6b,vicuna-13b,l
353,oasst-pythia-12b,vicuna-13b,w
354,stablelm-tuned-alpha-7b,oasst-pythia-12b,w
355,vicuna-13b,oasst-pythia-12b,w
357,koala-13b,vicuna-13b,w
358,vicuna-13b,koala-13b,l
360,oasst-pythia-12b,alpaca-13b,w
361,oasst-pythia-12b,vicuna-13b,l
362,vicuna-13b,llama-13b,w
363,koala-13b,stablelm-tuned-alpha-7b,w
364,oasst-pythia-12b,alpaca-13b,l
366,dolly-v2-12b,vicuna-13b,l
368,vicuna-13b,oasst-pythia-12b,w
369,koala-13b,oasst-pythia-12b,w
370,oasst-pythia-12b,vicuna-13b,l
371,koala-13b,vicuna-13b,w
372,dolly-v2-12b,vicuna-13b,l
373,llama-13b,stablelm-tuned-alpha-7b,l
374,vicuna-13b,llama-13b,w
375,vicuna-13b,llama-13b,w
376,koala-13b,dolly-v2-12b,w
377,vicuna-13b,koala-13b,w
379,vicuna-13b,stablelm-tuned-alpha-7b,w
380,dolly-v2-12b,alpaca-13b,l
381,chatglm-6b,vicuna-13b,l
383,vicuna-13b,llama-13b,w
384,koala-13b,llama-13b,w
385,alpaca-13b,llama-13b,w
387,koala-13b,vicuna-13b,l
388,vicuna-13b,dolly-v2-12b,l
389,alpaca-13b,llama-13b,w
390,dolly-v2-12b,vicuna-13b,l
391,vicuna-13b,stablelm-tuned-alpha-7b,w
392,vicuna-13b,koala-13b,l
393,dolly-v2-12b,vicuna-13b,w
394,vicuna-13b,koala-13b,w
395,vicuna-13b,oasst-pythia-12b,w
396,vicuna-13b,llama-13b,w
398,oasst-pythia-12b,llama-13b,w
399,stablelm-tuned-alpha-7b,vicuna-13b,l
401,oasst-pythia-12b,vicuna-13b,w
402,vicuna-13b,alpaca-13b,l
404,vicuna-13b,oasst-pythia-12b,w
405,chatglm-6b,alpaca-13b,l
406,vicuna-13b,chatglm-6b,w
407,vicuna-13b,koala-13b,w
408,vicuna-13b,dolly-v2-12b,w
409,dolly-v2-12b,vicuna-13b,l
410,vicuna-13b,oasst-pythia-12b,w
411,vicuna-13b,koala-13b,l
412,vicuna-13b,koala-13b,w
413,alpaca-13b,koala-13b,l
414,vicuna-13b,stablelm-tuned-alpha-7b,w
415,alpaca-13b,vicuna-13b,l
417,vicuna-13b,koala-13b,w
418,vicuna-13b,koala-13b,w
419,dolly-v2-12b,alpaca-13b,l
420,alpaca-13b,koala-13b,w
421,alpaca-13b,dolly-v2-12b,w
422,vicuna-13b,llama-13b,l
423,stablelm-tuned-alpha-7b,alpaca-13b,l
424,vicuna-13b,llama-13b,w
426,koala-13b,oasst-pythia-12b,w
427,dolly-v2-12b,koala-13b,l
428,vicuna-13b,alpaca-13b,w
430,dolly-v2-12b,stablelm-tuned-alpha-7b,w
433,vicuna-13b,llama-13b,l
434,vicuna-13b,oasst-pythia-12b,w
435,vicuna-13b,dolly-v2-12b,l
436,alpaca-13b,vicuna-13b,w
437,vicuna-13b,oasst-pythia-12b,w
438,dolly-v2-12b,alpaca-13b,l
439,vicuna-13b,llama-13b,w
440,oasst-pythia-12b,chatglm-6b,l
441,chatglm-6b,vicuna-13b,l
442,alpaca-13b,vicuna-13b,l
443,oasst-pythia-12b,dolly-v2-12b,w
445,alpaca-13b,stablelm-tuned-alpha-7b,w
447,chatglm-6b,vicuna-13b,l
448,dolly-v2-12b,vicuna-13b,l
449,koala-13b,vicuna-13b,w
450,stablelm-tuned-alpha-7b,vicuna-13b,l
451,vicuna-13b,chatglm-6b,w
452,vicuna-13b,koala-13b,w
453,llama-13b,dolly-v2-12b,l
454,vicuna-13b,dolly-v2-12b,w
456,koala-13b,vicuna-13b,l
457,oasst-pythia-12b,stablelm-tuned-alpha-7b,l
458,vicuna-13b,llama-13b,w
459,vicuna-13b,koala-13b,l
460,vicuna-13b,chatglm-6b,w
461,koala-13b,oasst-pythia-12b,w
465,oasst-pythia-12b,llama-13b,w
466,koala-13b,vicuna-13b,l
467,llama-13b,vicuna-13b,l
468,koala-13b,alpaca-13b,w
470,vicuna-13b,stablelm-tuned-alpha-7b,w
472,stablelm-tuned-alpha-7b,chatglm-6b,w
473,koala-13b,oasst-pythia-12b,l
474,stablelm-tuned-alpha-7b,alpaca-13b,l
475,vicuna-13b,koala-13b,w
476,vicuna-13b,oasst-pythia-12b,w
477,alpaca-13b,stablelm-tuned-alpha-7b,w
478,oasst-pythia-12b,alpaca-13b,l
480,vicuna-13b,stablelm-tuned-alpha-7b,w
482,oasst-pythia-12b,vicuna-13b,l
483,oasst-pythia-12b,vicuna-13b,l
484,llama-13b,vicuna-13b,l
485,vicuna-13b,koala-13b,l
486,vicuna-13b,llama-13b,w
487,vicuna-13b,chatglm-6b,w
488,vicuna-13b,koala-13b,l
489,oasst-pythia-12b,koala-13b,w
491,vicuna-13b,llama-13b,w
492,koala-13b,vicuna-13b,l
493,alpaca-13b,vicuna-13b,w
494,koala-13b,llama-13b,w
495,oasst-pythia-12b,vicuna-13b,l
496,chatglm-6b,vicuna-13b,l
497,vicuna-13b,stablelm-tuned-alpha-7b,w
498,vicuna-13b,koala-13b,l
499,vicuna-13b,llama-13b,w
500,vicuna-13b,llama-13b,w
501,vicuna-13b,chatglm-6b,w
502,vicuna-13b,alpaca-13b,w
503,llama-13b,vicuna-13b,l
504,vicuna-13b,koala-13b,w
505,llama-13b,vicuna-13b,w
507,vicuna-13b,alpaca-13b,w
508,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
509,vicuna-13b,oasst-pythia-12b,w
510,vicuna-13b,alpaca-13b,w
511,vicuna-13b,oasst-pythia-12b,w
512,koala-13b,chatglm-6b,w
513,oasst-pythia-12b,koala-13b,w
514,koala-13b,vicuna-13b,l
515,vicuna-13b,koala-13b,l
516,koala-13b,oasst-pythia-12b,w
517,koala-13b,vicuna-13b,w
519,oasst-pythia-12b,vicuna-13b,l
522,oasst-pythia-12b,llama-13b,w
523,vicuna-13b,koala-13b,w
524,vicuna-13b,llama-13b,w
527,vicuna-13b,koala-13b,l
528,alpaca-13b,oasst-pythia-12b,w
529,alpaca-13b,vicuna-13b,w
530,vicuna-13b,oasst-pythia-12b,w
531,dolly-v2-12b,oasst-pythia-12b,l
532,vicuna-13b,koala-13b,w
534,vicuna-13b,koala-13b,w
535,koala-13b,stablelm-tuned-alpha-7b,w
537,vicuna-13b,stablelm-tuned-alpha-7b,w
538,koala-13b,vicuna-13b,l
539,alpaca-13b,llama-13b,w
541,vicuna-13b,llama-13b,l
542,alpaca-13b,koala-13b,l
543,vicuna-13b,koala-13b,w
546,vicuna-13b,koala-13b,w
547,koala-13b,stablelm-tuned-alpha-7b,w
548,koala-13b,oasst-pythia-12b,l
549,vicuna-13b,alpaca-13b,w
550,koala-13b,vicuna-13b,l
551,alpaca-13b,vicuna-13b,l
552,koala-13b,oasst-pythia-12b,w
554,koala-13b,dolly-v2-12b,w
556,dolly-v2-12b,chatglm-6b,l
557,koala-13b,vicuna-13b,l
558,chatglm-6b,vicuna-13b,l
559,chatglm-6b,vicuna-13b,w
560,vicuna-13b,koala-13b,l
561,koala-13b,alpaca-13b,w
562,oasst-pythia-12b,vicuna-13b,l
563,stablelm-tuned-alpha-7b,dolly-v2-12b,l
564,koala-13b,vicuna-13b,w
565,koala-13b,vicuna-13b,l
568,koala-13b,oasst-pythia-12b,w
569,vicuna-13b,dolly-v2-12b,l
570,vicuna-13b,koala-13b,w
571,dolly-v2-12b,vicuna-13b,l
572,koala-13b,alpaca-13b,w
574,koala-13b,vicuna-13b,l
575,vicuna-13b,koala-13b,w
576,koala-13b,vicuna-13b,w
577,vicuna-13b,llama-13b,w
579,koala-13b,stablelm-tuned-alpha-7b,l
580,dolly-v2-12b,oasst-pythia-12b,l
581,vicuna-13b,stablelm-tuned-alpha-7b,w
582,vicuna-13b,oasst-pythia-12b,l
583,vicuna-13b,oasst-pythia-12b,w
584,vicuna-13b,koala-13b,w
585,koala-13b,vicuna-13b,l
586,koala-13b,vicuna-13b,w
587,vicuna-13b,stablelm-tuned-alpha-7b,l
588,vicuna-13b,koala-13b,w
589,oasst-pythia-12b,vicuna-13b,w
591,vicuna-13b,oasst-pythia-12b,w
592,stablelm-tuned-alpha-7b,alpaca-13b,l
593,dolly-v2-12b,chatglm-6b,w
599,koala-13b,oasst-pythia-12b,w
600,koala-13b,alpaca-13b,w
601,vicuna-13b,llama-13b,w
602,llama-13b,vicuna-13b,w
604,vicuna-13b,dolly-v2-12b,w
606,oasst-pythia-12b,vicuna-13b,l
607,vicuna-13b,koala-13b,w
608,chatglm-6b,alpaca-13b,l
609,llama-13b,dolly-v2-12b,w
610,vicuna-13b,koala-13b,l
611,alpaca-13b,vicuna-13b,l
613,chatglm-6b,vicuna-13b,l
614,koala-13b,alpaca-13b,l
615,vicuna-13b,stablelm-tuned-alpha-7b,l
616,vicuna-13b,llama-13b,w
617,oasst-pythia-12b,koala-13b,l
619,chatglm-6b,vicuna-13b,l
620,dolly-v2-12b,stablelm-tuned-alpha-7b,l
622,koala-13b,oasst-pythia-12b,w
623,koala-13b,oasst-pythia-12b,w
624,vicuna-13b,llama-13b,l
625,chatglm-6b,alpaca-13b,w
626,oasst-pythia-12b,vicuna-13b,l
627,vicuna-13b,oasst-pythia-12b,w
628,llama-13b,koala-13b,l
629,koala-13b,oasst-pythia-12b,w
630,llama-13b,koala-13b,w
631,llama-13b,koala-13b,l
632,vicuna-13b,oasst-pythia-12b,w
633,dolly-v2-12b,vicuna-13b,l
634,koala-13b,vicuna-13b,l
635,stablelm-tuned-alpha-7b,alpaca-13b,w
636,vicuna-13b,dolly-v2-12b,w
637,vicuna-13b,llama-13b,l
638,koala-13b,alpaca-13b,l
639,koala-13b,llama-13b,w
640,alpaca-13b,vicuna-13b,w
641,vicuna-13b,oasst-pythia-12b,w
642,vicuna-13b,koala-13b,l
643,koala-13b,vicuna-13b,l
644,alpaca-13b,koala-13b,w
647,oasst-pythia-12b,vicuna-13b,w
648,llama-13b,vicuna-13b,l
649,vicuna-13b,koala-13b,w
650,vicuna-13b,alpaca-13b,l
651,vicuna-13b,oasst-pythia-12b,w
652,chatglm-6b,koala-13b,l
653,llama-13b,koala-13b,l
655,koala-13b,vicuna-13b,w
656,llama-13b,oasst-pythia-12b,l
657,vicuna-13b,oasst-pythia-12b,w
658,stablelm-tuned-alpha-7b,llama-13b,w
659,vicuna-13b,oasst-pythia-12b,l
660,dolly-v2-12b,vicuna-13b,l
661,vicuna-13b,oasst-pythia-12b,w
662,chatglm-6b,vicuna-13b,l
663,chatglm-6b,oasst-pythia-12b,l
664,stablelm-tuned-alpha-7b,alpaca-13b,l
666,llama-13b,vicuna-13b,l
667,dolly-v2-12b,vicuna-13b,l
669,koala-13b,vicuna-13b,l
670,vicuna-13b,alpaca-13b,l
671,vicuna-13b,alpaca-13b,w
672,stablelm-tuned-alpha-7b,dolly-v2-12b,l
673,vicuna-13b,koala-13b,l
674,llama-13b,stablelm-tuned-alpha-7b,l
675,vicuna-13b,koala-13b,l
676,stablelm-tuned-alpha-7b,vicuna-13b,l
677,koala-13b,vicuna-13b,l
678,koala-13b,vicuna-13b,l
679,vicuna-13b,koala-13b,w
680,vicuna-13b,oasst-pythia-12b,l
681,vicuna-13b,oasst-pythia-12b,l
682,dolly-v2-12b,oasst-pythia-12b,l
684,oasst-pythia-12b,vicuna-13b,l
685,dolly-v2-12b,oasst-pythia-12b,w
686,koala-13b,vicuna-13b,l
687,koala-13b,oasst-pythia-12b,l
688,koala-13b,vicuna-13b,l
690,llama-13b,vicuna-13b,l
691,vicuna-13b,dolly-v2-12b,w
692,koala-13b,stablelm-tuned-alpha-7b,w
694,koala-13b,vicuna-13b,l
695,chatglm-6b,vicuna-13b,l
698,vicuna-13b,koala-13b,w
699,oasst-pythia-12b,vicuna-13b,l
700,vicuna-13b,oasst-pythia-12b,w
701,oasst-pythia-12b,vicuna-13b,l
702,vicuna-13b,koala-13b,w
703,alpaca-13b,vicuna-13b,w
704,vicuna-13b,koala-13b,l
705,koala-13b,vicuna-13b,l
706,dolly-v2-12b,koala-13b,w
707,vicuna-13b,oasst-pythia-12b,w
708,koala-13b,vicuna-13b,l
710,llama-13b,stablelm-tuned-alpha-7b,l
713,vicuna-13b,oasst-pythia-12b,w
714,oasst-pythia-12b,vicuna-13b,l
716,vicuna-13b,koala-13b,w
717,vicuna-13b,oasst-pythia-12b,w
718,stablelm-tuned-alpha-7b,vicuna-13b,l
719,koala-13b,llama-13b,w
722,koala-13b,oasst-pythia-12b,l
723,koala-13b,dolly-v2-12b,w
724,vicuna-13b,stablelm-tuned-alpha-7b,w
725,vicuna-13b,llama-13b,w
726,vicuna-13b,alpaca-13b,l
728,vicuna-13b,koala-13b,w
730,vicuna-13b,chatglm-6b,w
731,vicuna-13b,koala-13b,l
732,vicuna-13b,koala-13b,l
733,dolly-v2-12b,vicuna-13b,l
734,koala-13b,oasst-pythia-12b,w
737,vicuna-13b,llama-13b,w
738,koala-13b,oasst-pythia-12b,w
739,koala-13b,vicuna-13b,l
740,vicuna-13b,llama-13b,w
741,oasst-pythia-12b,dolly-v2-12b,l
742,koala-13b,vicuna-13b,w
744,vicuna-13b,alpaca-13b,w
745,vicuna-13b,oasst-pythia-12b,w
746,llama-13b,vicuna-13b,w
747,vicuna-13b,koala-13b,w
749,vicuna-13b,dolly-v2-12b,w
750,vicuna-13b,llama-13b,w
752,vicuna-13b,chatglm-6b,w
753,vicuna-13b,llama-13b,l
754,vicuna-13b,koala-13b,l
755,vicuna-13b,koala-13b,w
756,vicuna-13b,chatglm-6b,w
758,koala-13b,vicuna-13b,w
759,vicuna-13b,koala-13b,w
760,vicuna-13b,koala-13b,l
761,koala-13b,dolly-v2-12b,l
762,dolly-v2-12b,koala-13b,l
764,vicuna-13b,oasst-pythia-12b,w
769,vicuna-13b,dolly-v2-12b,w
770,dolly-v2-12b,vicuna-13b,l
772,oasst-pythia-12b,alpaca-13b,l
773,vicuna-13b,llama-13b,w
774,vicuna-13b,oasst-pythia-12b,l
775,vicuna-13b,koala-13b,w
776,koala-13b,vicuna-13b,l
777,vicuna-13b,alpaca-13b,w
778,vicuna-13b,stablelm-tuned-alpha-7b,w
779,vicuna-13b,koala-13b,w
780,vicuna-13b,koala-13b,w
781,koala-13b,vicuna-13b,l
783,koala-13b,vicuna-13b,l
785,vicuna-13b,llama-13b,w
786,vicuna-13b,dolly-v2-12b,w
787,vicuna-13b,koala-13b,l
788,vicuna-13b,oasst-pythia-12b,w
789,vicuna-13b,koala-13b,w
790,vicuna-13b,chatglm-6b,w
791,llama-13b,vicuna-13b,l
792,stablelm-tuned-alpha-7b,koala-13b,l
793,koala-13b,stablelm-tuned-alpha-7b,w
794,koala-13b,stablelm-tuned-alpha-7b,w
796,stablelm-tuned-alpha-7b,llama-13b,l
797,alpaca-13b,koala-13b,l
798,vicuna-13b,koala-13b,w
800,vicuna-13b,llama-13b,l
801,alpaca-13b,vicuna-13b,w
803,koala-13b,oasst-pythia-12b,w
804,vicuna-13b,dolly-v2-12b,w
807,vicuna-13b,llama-13b,w
808,vicuna-13b,oasst-pythia-12b,l
809,koala-13b,llama-13b,w
811,vicuna-13b,llama-13b,w
813,llama-13b,chatglm-6b,w
815,oasst-pythia-12b,stablelm-tuned-alpha-7b,w
816,chatglm-6b,dolly-v2-12b,l
817,chatglm-6b,vicuna-13b,l
818,vicuna-13b,chatglm-6b,w
820,vicuna-13b,llama-13b,w
822,vicuna-13b,llama-13b,w
824,koala-13b,llama-13b,w
825,vicuna-13b,llama-13b,w
826,vicuna-13b,koala-13b,w
827,vicuna-13b,alpaca-13b,w
829,dolly-v2-12b,oasst-pythia-12b,l
831,vicuna-13b,stablelm-tuned-alpha-7b,w
832,vicuna-13b,koala-13b,w
834,vicuna-13b,oasst-pythia-12b,w
835,koala-13b,vicuna-13b,l
836,koala-13b,dolly-v2-12b,w
837,koala-13b,alpaca-13b,w
838,chatglm-6b,vicuna-13b,w
839,koala-13b,vicuna-13b,l
841,oasst-pythia-12b,llama-13b,w
842,dolly-v2-12b,vicuna-13b,l
843,alpaca-13b,vicuna-13b,w
844,vicuna-13b,stablelm-tuned-alpha-7b,l
845,vicuna-13b,chatglm-6b,w
846,chatglm-6b,vicuna-13b,l
848,alpaca-13b,vicuna-13b,l
849,vicuna-13b,dolly-v2-12b,l
850,oasst-pythia-12b,koala-13b,w
851,alpaca-13b,dolly-v2-12b,w
852,vicuna-13b,llama-13b,w
853,vicuna-13b,stablelm-tuned-alpha-7b,w
854,stablelm-tuned-alpha-7b,vicuna-13b,l
856,koala-13b,vicuna-13b,w
857,vicuna-13b,koala-13b,l
858,vicuna-13b,oasst-pythia-12b,w
